Att_rush,Yds_rush,Y/A,TD_rush,player_id
323.0,1585.0,4.91,18.0,TaylJo02
311.0,1202.0,3.86,10.0,McCaCh01
287.0,1478.0,5.15,7.0,RobiBi01
243.0,1223.0,5.03,13.0,GibbJa01
10.0,105.0,10.5,1.0,NacuPu00
7.0,36.0,5.14,0.0,SmitJa06
309.0,1621.0,5.25,12.0,CookJa01
307.0,1595.0,5.2,16.0,HenrDe00
238.0,1350.0,5.67,8.0,AchaDe00
112.0,579.0,5.17,14.0,AlleJo02
3.0,9.0,3.0,0.0,StxxAm00
103.0,450.0,4.37,4.0,MayeDr00
29.0,1.0,0.03,0.0,StafMa00
259.0,1252.0,4.83,10.0,WillKy02
3.0,14.0,4.67,0.0,ChasJa00
260.0,1107.0,4.26,7.0,EtieTr00
82.0,359.0,4.38,9.0,LawrTr00
232.0,1019.0,4.39,6.0,BrowCh10
252.0,1201.0,4.77,11.0,WillJa10
234.0,929.0,3.97,13.0,JacoJo01
1.0,-3.0,-3.0,0.0,OlavCh00
223.0,1087.0,4.87,9.0,SwifDA00
280.0,1140.0,4.07,7.0,BarkSa00
77.0,388.0,5.04,3.0,WillCa03
53.0,177.0,3.34,2.0,PresDa01
266.0,975.0,3.67,5.0,JeanAs00
10.0,62.0,6.2,1.0,FlowZa00
2.0,15.0,7.5,1.0,CollNi00
6.0,12.0,2.0,0.0,WillJa11
83.0,356.0,4.29,5.0,NixxBo00
236.0,1076.0,4.56,6.0,DowdRi01
211.0,958.0,4.54,6.0,WarrJa01
105.0,421.0,4.01,8.0,HurtJa00
19.0,45.0,2.37,0.0,GoffJa00
243.0,1065.0,4.38,4.0,HallBr03
180.0,911.0,5.06,9.0,HendTr02
83.0,498.0,6.0,2.0,HerbJu00
2.0,9.0,4.5,0.0,EgbuEm01
1.0,1.0,1.0,0.0,KelcTr00
64.0,422.0,6.59,5.0,MahoPa00
184.0,730.0,3.97,12.0,CharZa00
221.0,1027.0,4.65,5.0,WalkKe00
2.0,28.0,14.0,0.0,WaddJa00
146.0,540.0,3.7,7.0,HarvRJ00
7.0,13.0,1.86,1.0,FannHa00
2.0,12.0,6.0,1.0,MetcDK00
7.0,0.0,0.0,0.0,WashPa01
6.0,8.0,1.33,1.0,WarrTy00
2.0,2.0,1.0,0.0,BoweBr01
1.0,2.0,2.0,0.0,LambCe00
3.0,5.0,1.67,0.0,RobiWa01
242.0,1082.0,4.47,5.0,PollTo00
1.0,-2.0,-2.0,0.0,LoveCo00
2.0,7.0,3.5,0.0,JohnQu02
15.0,79.0,5.27,1.0,MoorD.00
1.0,1.0,1.0,0.0,FergJa00
1.0,-3.0,-3.0,0.0,KittGe00
55.0,382.0,6.95,1.0,MayfBa00
86.0,487.0,5.66,9.0,DartJa00
47.0,199.0,4.23,0.0,LoveJo03
35.0,95.0,2.71,0.0,DarnSa00
38.0,168.0,4.42,1.0,BrisJa00
45.0,164.0,3.64,5.0,JoneDa05
21.0,61.0,2.9,1.0,RodgAa00
54.0,216.0,4.0,2.0,YounBr01
67.0,349.0,5.21,2.0,JackLa00
48.0,209.0,4.35,1.0,StroCJ00
39.0,159.0,4.08,2.0,WardCa00
33.0,147.0,4.45,3.0,PurdBr00
41.0,109.0,2.66,0.0,SmitGe00
20.0,43.0,2.15,0.0,TagoTu00
45.0,186.0,4.13,3.0,ShouTy00
114.0,537.0,4.71,5.0,GainKe00
21.0,35.0,1.67,1.0,FlacJo00
130.0,603.0,4.64,7.0,StevRh00
230.0,827.0,3.6,7.0,JudkQu00
71.0,383.0,5.39,4.0,FielJu00
158.0,716.0,4.53,8.0,MontDa01
14.0,41.0,2.93,0.0,BurrJo01
175.0,805.0,4.6,8.0,CrosJa00
36.0,60.0,1.67,0.0,JoneMa05
169.0,783.0,4.63,5.0,MonaKy00
163.0,611.0,3.75,8.0,HuntKa00
196.0,703.0,3.59,2.0,MarkWo00
50.0,297.0,5.94,1.0,MariMa01
37.0,181.0,4.89,4.0,McCaJJ00
176.0,740.0,4.2,2.0,TracTy00
21.0,70.0,3.33,1.0,PeniMi00
2.0,7.0,3.5,0.0,JeffJu00
17.0,75.0,4.41,1.0,SamuDe00
159.0,758.0,4.77,6.0,MasoJo00
145.0,746.0,5.14,6.0,CoruBl00
58.0,278.0,4.79,2.0,DaniJa02
5.0,12.0,2.4,0.0,FranTr00
143.0,514.0,3.59,8.0,AllgTy00
173.0,588.0,3.4,1.0,IrviBu00
153.0,772.0,5.05,4.0,DobbJK00
11.0,51.0,4.64,0.0,TuckTr00
14.0,7.0,0.5,1.0,CousKi00
124.0,545.0,4.4,4.0,HampOm00
101.0,410.0,4.06,5.0,SkatCa00
132.0,572.0,4.33,4.0,WhitRa01
155.0,643.0,4.15,3.0,VidaKi00
5.0,13.0,2.6,0.0,MeyeJa01
31.0,167.0,5.39,0.0,RattSp00
9.0,69.0,7.67,0.0,ShahRa00
5.0,20.0,4.0,1.0,RiceRa01
1.0,3.0,3.0,0.0,WatsCh00
10.0,14.0,1.4,1.0,BarnAJ00
134.0,511.0,3.81,1.0,HubbCh01
1.0,5.0,5.0,0.0,ShakKh00
2.0,81.0,40.5,1.0,AddiJo00
132.0,548.0,4.15,2.0,JoneAa00
119.0,437.0,3.67,5.0,SingDe00
3.0,21.0,7.0,1.0,ThomBr06
112.0,500.0,4.46,6.0,RodrCh00
1.0,3.0,3.0,0.0,KrafTu00
21.0,169.0,8.05,1.0,SandSh00
10.0,48.0,4.8,1.0,AndrMa00
86.0,320.0,3.72,7.0,TuckSe00
6.0,37.0,6.17,0.0,BurdLu00
125.0,496.0,3.97,3.0,WilsEm00
83.0,307.0,3.7,5.0,TuteBh00
11.0,18.0,1.64,0.0,DikeCh00
2.0,-2.0,-1.0,0.0,DownJo00
29.0,173.0,5.97,1.0,MurrKy00
50.0,200.0,4.0,3.0,JohnTy02
122.0,506.0,4.15,3.0,ChubNi00
4.0,25.0,6.25,0.0,FlouRy00
2.0,13.0,6.5,0.0,NailJa00
1.0,5.0,5.0,0.0,JeudJe00
82.0,269.0,3.28,4.0,KnigZo00
17.0,110.0,6.47,1.0,WashMa00
14.0,86.0,6.14,0.0,GabrDi00
11.0,57.0,5.18,0.0,WentCa00
13.0,60.0,4.62,1.0,MillDa02
131.0,471.0,3.6,1.0,KamaAl00
118.0,462.0,3.92,1.0,PachIs00
11.0,87.0,7.91,0.0,WortXa00
1.0,4.0,4.0,0.0,HollMa00
72.0,283.0,3.93,2.0,SpeaTy00
92.0,333.0,3.62,1.0,CartMi03
7.0,21.0,3.0,0.0,DougDe00
1.0,4.0,4.0,0.0,WallDa01
7.0,22.0,3.14,0.0,JohnTe03
3.0,22.0,7.33,0.0,HutcXa00
1.0,0.0,0.0,0.0,HockTJ00
84.0,382.0,4.55,3.0,PeriSa00
27.0,143.0,5.3,1.0,TaylTy00
17.0,89.0,5.24,0.0,TurpKa00
3.0,14.0,4.67,0.0,IosiAn00
12.0,78.0,6.5,1.0,MimsMa00
1.0,-4.0,-4.0,0.0,MitcAd00
92.0,400.0,4.35,2.0,RobiBr01
65.0,175.0,2.69,0.0,SampDy00
58.0,275.0,4.74,0.0,DaviRa04
1.0,0.0,0.0,0.0,LegeXa00
1.0,7.0,7.0,0.0,EngrEv00
2.0,-2.0,-1.0,0.0,PearRi00
63.0,356.0,5.65,2.0,BigsTa00
22.0,123.0,5.59,2.0,WillMa12
43.0,236.0,5.49,1.0,DaviIs00
18.0,106.0,5.89,0.0,WilsRu00
9.0,39.0,4.33,1.0,BrowJa08
44.0,221.0,5.02,1.0,McNiJe00
70.0,199.0,2.84,3.0,GordOl00
9.0,70.0,7.78,1.0,SmitJo01
7.0,15.0,2.14,1.0,DortGr01
59.0,341.0,5.78,1.0,MitcKe01
1.0,6.0,6.0,0.0,WickDo00
4.0,25.0,6.25,0.0,ZaccOl01
44.0,312.0,7.09,0.0,DemeEm00
18.0,93.0,5.17,2.0,HillJu00
57.0,206.0,3.61,2.0,NealDe00
2.0,19.0,9.5,0.0,RaymKa00
4.0,19.0,4.75,0.0,ShepSt00
70.0,288.0,4.11,2.0,WrigJa04
6.0,12.0,2.0,0.0,NoelJa00
7.0,23.0,3.29,1.0,WinsJa00
1.0,0.0,0.0,0.0,FergTe00
10.0,49.0,4.9,0.0,GoldMa02
24.0,151.0,6.29,0.0,HuntTy01
52.0,250.0,4.81,2.0,DaviMa02
2.0,10.0,5.0,0.0,HarrTr03
3.0,-5.0,-1.67,0.0,MetcJo00
2.0,3.0,1.5,0.0,WillKy03
44.0,151.0,3.43,0.0,SmitBr09
5.0,29.0,5.8,0.0,BondIs00
1.0,-7.0,-7.0,0.0,DulcGr00
46.0,198.0,4.3,1.0,EstiAu00
1.0,0.0,0.0,0.0,HuntTr00
1.0,6.0,6.0,0.0,RobiDe01
2.0,-3.0,-1.5,0.0,JuszKy00
1.0,7.0,7.0,0.0,LaneJa00
3.0,34.0,11.33,0.0,WillIs03
8.0,19.0,2.38,0.0,EwerQu00
2.0,-1.0,-0.5,0.0,RivePh00
52.0,114.0,2.19,1.0,HillTa00
9.0,6.0,0.67,0.0,TrubMi00
6.0,30.0,5.0,0.0,BrowDy00
3.0,28.0,9.33,0.0,ReedJa03
1.0,1.0,1.0,0.0,EvanMi01
6.0,27.0,4.5,2.0,LeonRi02
13.0,49.0,3.77,0.0,CookBr03
47.0,193.0,4.11,1.0,MillKe01
1.0,9.0,9.0,0.0,MoorCh00
37.0,187.0,5.05,1.0,McLaJa00
32.0,95.0,2.97,1.0,ConnJa00
32.0,114.0,3.56,0.0,ScotZa00
15.0,43.0,2.87,2.0,HeywCo00
12.0,55.0,4.58,1.0,JohnJo05
16.0,71.0,4.44,0.0,LuepHu00
43.0,193.0,4.49,0.0,JordJa00
41.0,159.0,3.88,1.0,PattJa01
29.0,160.0,5.52,0.0,BensTr01
13.0,127.0,9.77,0.0,CorlMa00
